Pair_ID,Drug,Active,DrugBank_ID,PubChem_CID,OrigYear,NewIndication,MONDO_ID,MeSH_ID,DOID_ID,Agencies,TA,TA_simplified,StrictRepurposing,Drug_Pre2023,YearSet,ID_Flag,n_present,primekg_drug,drkg_drug,biokg_drug,dkey,leaked,unresolvable,in234,in116,covered,drug_anyKG
86,Adcetris,brentuximab vedotin,DB08870,,2012,Stage III Hodgkin lymphoma (EMA),MONDO:0004952,D006689,DOID:8567,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB08870|d|8567,True,False,True,False,True,True
87,Enhertu,trastuzumab deruxtecan,DB14962,,2019,HER2-mutant NSCLC (EMA),MONDO:0005233,D002289,DOID:3908,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB14962|d|3908,False,False,True,True,True,True
88,Vanflyta,quizartinib,DB12874,24889392,2019,FLT3-ITD AML (EMA),MONDO:0018874,D015470,DOID:9119,EMA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB12874|d|9119,True,False,True,False,True,True
89,Nordimet,methotrexate,DB00563,126941,1988,Moderate psoriasis (EMA),MONDO:0005083,D011565,DOID:8893,EMA,Immunology/Dermatology,Immunology,True,True,2023,complete,3,True,True,True,DB00563|d|8893,True,False,True,False,True,True
90,Ayvakyt,avapritinib,DB15233,118023034,2020,Indolent systemic mastocytosis (EMA),MONDO:0016586,D034721,DOID:349,EMA,Hematology,Hematology,True,True,2023,complete,2,True,False,True,DB15233|d|349,False,False,True,True,True,True
91,Evkeeza,evinacumab,DB15354,,2021,HoFH pediatric (EMA),MONDO:0018328,D000090542,DOID:0090105,EMA,Metabolic,Metabolic,True,True,2023,missing_PubChem,1,True,True,True,DB15354|d|90105,False,False,True,True,True,True
92,Keytruda,pembrolizumab,DB09037,,2016,Primary mediastinal large B-cell lymphoma,MONDO:0020323,D016403,DOID:0080210,PMDA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB09037|d|80210,False,False,True,True,True,True
93,Enhertu,trastuzumab deruxtecan,DB14962,,2020,HER2-mutant NSCLC (PMDA),MONDO:0005233,D002289,DOID:3908,PMDA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB14962|d|3908,False,False,True,True,True,True
94,Rituxan,rituximab,DB00073,,2001,Antibody-mediated rejection in organ transplantation,MONDO:1010185,D006084,,PMDA,Immunology/Transplant,Immunology,True,True,2023,missing_PubChem|missing_DOID,1,True,True,True,DB00073|d|None,False,False,True,True,True,True
95,Tremfya,guselkumab,DB11834,,2019,Palmoplantar pustulosis (PMDA),MONDO:0015597,,DOID:4398,PMDA,Immunology/Dermatology,Immunology,True,True,2023,missing_PubChem|missing_MeSH,1,True,True,True,DB11834|d|4398,False,False,True,True,True,True
96,Lenvatinib,lenvatinib,DB09078,9823820,2015,Unresectable thymic carcinoma (PMDA),MONDO:0006451,D013953,DOID:3284,PMDA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB09078|d|3284,False,False,True,True,True,True
97,Alecensa,alectinib,DB11363,49806720,2015,Adjuvant ALK+ NSCLC,MONDO:0005233,D002289,DOID:3908,"FDA, EMA, MHRA/Orbis",Oncology,Oncology,True,True,2024-2026,complete,3,True,True,True,DB11363|d|3908,True,False,True,False,True,True
98,Enhertu,trastuzumab deruxtecan,DB14962,,2019,HER2+ solid tumors (tumor-agnostic),MONDO:0004198,D066066,DOID:7360,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,2,True,True,True,DB14962|d|7360,False,False,True,True,True,True
99,Enhertu,trastuzumab deruxtecan,DB14962,,2019,HR+/HER2-low breast cancer,MONDO:0007254,D000072656,DOID:1612,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,2,True,True,True,DB14962|d|1612,False,False,True,True,True,True
100,Imfinzi,durvalumab,DB11714,,2017,Resectable NSCLC,MONDO:0005233,D002289,DOID:3908,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,3,True,True,True,DB11714|d|3908,True,False,True,False,True,True
101,Imfinzi,durvalumab,DB11714,,2017,Muscle-invasive bladder cancer,MONDO:0004986,D001749,DOID:4007,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,3,True,True,True,DB11714|d|4007,True,False,True,False,True,True
102,Imfinzi,durvalumab,DB11714,,2017,Gastric/GEJ adenocarcinoma,MONDO:0005036,D013274,DOID:3717,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,3,True,True,True,DB11714|d|3717,False,False,True,True,True,True
103,Imfinzi,durvalumab,DB11714,,2017,Biliary tract cancer 1L,MONDO:0003060,D001661,DOID:4607,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,3,True,True,True,DB11714|d|4607,False,False,True,True,True,True
104,Rybrevant,amivantamab,DB16695,,2021,1L EGFR-mutant NSCLC (+lazertinib),MONDO:0005233,D002289,DOID:3908,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,0,False,False,False,DB16695|d|3908,False,False,True,False,False,False
105,Keytruda,pembrolizumab,DB09037,,2014,Neoadj+adj HNSCC,MONDO:0010150,C535575,DOID:5520,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,2,True,True,True,DB09037|d|5520,True,False,True,True,True,True
106,Keytruda,pembrolizumab,DB09037,,2014,1L endometrial cancer (dMMR/MSI-H),MONDO:0011962,D016889,DOID:1380,"EMA, MHRA/Orbis",Oncology,Oncology,True,True,2024-2026,missing_PubChem,3,True,True,True,DB09037|d|1380,True,False,True,False,True,True
