kg,model,strategy,rerun,rerun_seed,auroc,auprc,mrr,hits@10,hits@100,train_time_s
biokg,TransE,shared-target,1,1042,0.8459659635241272,0.4832038283007054,0.0011275061464681,0.0014954389113204,0.0137580379841483,120.07983803749084
biokg,RotatE,random,1,1042,0.947227960105259,0.8327701841009536,0.0013663565054205,0.0014954389113204,0.0149543891132047,199.8065731525421
biokg,RotatE,type-constrained,1,1042,0.9467828506634844,0.8306789482796744,0.0013635538355014,0.0014954389113204,0.0149543891132047,199.8065731525421
biokg,RotatE,shared-target,1,1042,0.8841602292013396,0.6684396461775151,0.0013026275488063,0.0014954389113204,0.0148048452220726,199.8065731525421
biokg,Gemma,random,1,1042,0.8311194665154187,0.4805116888433194,0.0011423813059983,0.0014954389113204,0.0122625990728278,0.0
biokg,Gemma,type-constrained,1,1042,0.8332079977960447,0.4793865924089552,0.0010957854856402,0.0013458950201884,0.0119635112905637,0.0
biokg,Gemma,shared-target,1,1042,0.7462380989663894,0.3712783701456441,0.0010298298656718,0.0013458950201884,0.0115148796171676,0.0
biokg,TransE,random,2,2042,0.9428699711282116,0.740931295136977,0.0012800035921028,0.0014954389113204,0.0137580379841483,118.80982971191406
biokg,TransE,type-constrained,2,2042,0.942809169583242,0.7391235282811873,0.001262666091203,0.0014954389113204,0.0134589502018842,118.80982971191406
biokg,TransE,shared-target,2,2042,0.8516950778814611,0.4939528455844469,0.0011296175730237,0.0013458950201884,0.0139075818752803,118.80982971191406
biokg,RotatE,random,2,2042,0.9557252443752252,0.8587783758631308,0.0013606822880849,0.0014954389113204,0.0146553013309406,199.94146919250488
biokg,RotatE,type-constrained,2,2042,0.9559411560554576,0.8618058062739546,0.001367296773949,0.0014954389113204,0.0148048452220726,199.94146919250488
biokg,RotatE,shared-target,2,2042,0.9073779212969756,0.6767805168060894,0.0012450111011104,0.0014954389113204,0.012860774637356,199.94146919250488
biokg,Gemma,random,2,2042,0.8357414663204548,0.4806748238315714,0.0011241012389657,0.0014954389113204,0.0118139673994317,0.0
biokg,Gemma,type-constrained,2,2042,0.8325156388761249,0.4721262772693432,0.0011158757164714,0.0014954389113204,0.0121130551816958,0.0
biokg,Gemma,shared-target,2,2042,0.7503605859463763,0.3671111230889142,0.0010028556843434,0.0013458950201884,0.0110662479437714,0.0
matrix,TransE,random,0,42,0.9954198587532364,0.976486735090854,0.0002877171640261564,0.00026084461486292613,0.0026084461486292616,2729.8849217891693
matrix,TransE,type-constrained,0,42,0.9955541830816445,0.9778469936277069,0.0002873123027338866,0.00026084461486292613,0.0025562772256566765,2729.8849217891693
matrix,TransE,shared-target,0,42,0.838559612008764,0.4225238540892079,0.0002159577824349554,0.00026084461486292613,0.0022432636878211647,2729.8849217891693
matrix,RotatE,random,0,42,0.9973240971764029,0.9907473573480666,0.00029006508370860054,0.00026084461486292613,0.0026084461486292616,4399.67893743515
matrix,RotatE,type-constrained,0,42,0.9973182823493493,0.9905458122763504,0.00029002476743864275,0.00026084461486292613,0.0026084461486292616,4399.67893743515
matrix,RotatE,shared-target,0,42,0.9082099664417012,0.667744586553047,0.0002638296334482299,0.00026084461486292613,0.0025301927641703838,4399.67893743515
matrix,Gemma,random,0,42,0.9422830957770458,0.8061129537903375,0.00027918065248719434,0.00026084461486292613,0.0025562772256566765,0.0
matrix,Gemma,type-constrained,0,42,0.9422881154216348,0.8051431104525052,0.00027742907717872233,0.00026084461486292613,0.0025562772256566765,0.0
matrix,Gemma,shared-target,0,42,0.7796573436356948,0.43255175560144893,0.0002333036157087858,0.00026084461486292613,0.0022432636878211647,0.0
matrix,TransE,random,1,1042,0.9952728619229732,0.9748375533234684,0.000287604178793598,0.00026084461486292613,0.0026084461486292616,2822.884599208832
matrix,TransE,type-constrained,1,1042,0.9951628932979392,0.974235915599234,0.00028712090508322666,0.00026084461486292613,0.002582361687142969,2822.884599208832
