kg,model,strategy,heuristic_auroc,emb_auroc,emb_auprc,auroc_ci_lo,auroc_ci_hi,auprc_ci_lo,auprc_ci_hi,mrr,hits@10,hits@100,train_time_s
primekg,Gemma,type-constrained,0.9463787297796015,0.8537209616193783,0.595199202432793,0.8400420994849844,0.8655394393464599,0.5681152419009776,0.6249821876354241,0.007021099499886701,0.010649627263045794,0.10117145899893504,144.9264748096466
primekg,Gemma,shared-target,0.9277016199001725,0.7825786161382114,0.4835506102492732,0.7660484552369742,0.7978092162940432,0.4534745777381612,0.5127382749920679,0.006341078779409741,0.009584664536741214,0.09158679446219382,144.9264748096466
hetionet,Gemma,random,0.8835872576177285,0.7518005540166205,0.5118509328724097,0.6805115997229917,0.8152103531855956,0.42304520486479397,0.6135220427178875,0.05301067090479917,0.11842105263157894,0.5394736842105263,20.950823307037354
hetionet,Gemma,type-constrained,0.874549861495845,0.7439404432132963,0.4991700574364541,0.6745031163434902,0.8077250692520777,0.3979387122082113,0.6077040718978487,0.051818719986816156,0.11842105263157894,0.5263157894736842,20.950823307037354
hetionet,Gemma,shared-target,0.8298995844875346,0.7061980609418281,0.46191492019865216,0.6317416897506926,0.7728150969529086,0.3669169963063095,0.5622369075421259,0.05179390471857097,0.13157894736842105,0.4868421052631579,20.950823307037354
drkg,Gemma,random,0.9255715378791866,0.5375253533272066,0.15941019781418236,0.5154241950698153,0.560264038962143,0.15407371584711946,0.16678858807972435,0.0010399645507365625,0.0,0.006036217303822937,40.20014429092407
drkg,Gemma,type-constrained,0.9284941034537203,0.5418401758640373,0.16068786204804164,0.5213775408993194,0.5629245695500974,0.15550940076629402,0.1683445699586342,0.0010415685738377962,0.0,0.006036217303822937,40.20014429092407
drkg,Gemma,shared-target,0.8570019715880797,0.663242634883749,0.24152268199682503,0.640471835034351,0.6869004469472771,0.22429303553550586,0.26525356680181694,0.0031373480833846723,0.004024144869215292,0.05432595573440644,40.20014429092407
openbilink,Gemma,random,0.7595710081328331,0.6982810369410744,0.29512743503265704,0.6793067153741862,0.7184283168867648,0.2737750807075518,0.3199776811768347,0.005343483655170481,0.00697350069735007,0.05160390516039052,75.33235335350037
openbilink,Gemma,type-constrained,0.7596132187228282,0.6947512979270126,0.2919162279564802,0.6747301050985335,0.715154681387853,0.269922379636947,0.3173479132596043,0.005526409282165749,0.009762900976290097,0.0502092050209205,75.33235335350037
openbilink,Gemma,shared-target,0.7380546948096535,0.6458103557944247,0.2475080385469881,0.6230390749461668,0.6668401288492849,0.22907167596099867,0.2703772836214434,0.004781930629245317,0.00697350069735007,0.043235704323570434,75.33235335350037
biokg,Gemma,random,0.8983519690694839,0.8388795622431887,0.4923938374506336,0.8339798161368257,0.8429266999111661,0.4812363224153132,0.504078394912485,0.0011147054154799312,0.0013458950201884253,0.011365335726035592,44.93382167816162
biokg,Gemma,type-constrained,0.8979902101640691,0.8382015427195595,0.4883460801774203,0.8333057259700667,0.8426009407847116,0.47769252419986075,0.49962754382359603,0.0011463831500782215,0.0014954389113204726,0.012262599072827875,44.93382167816162
biokg,Gemma,shared-target,0.8574167787798581,0.7518259103364171,0.37397380959365706,0.746018708830843,0.757660548013619,0.36429026364116385,0.3840940986044412,0.0010072683349782912,0.001196351129056378,0.010767160161507403,44.93382167816162
matrix,Gemma,random,0.9959331089245002,0.9422830957770458,0.8061129537903375,0.9409617848068479,0.9436018183915803,0.802804419153015,0.8098844858662059,0.00027918065248719434,0.00026084461486292613,0.0025562772256566765,2417.587647676468
matrix,Gemma,type-constrained,0.995931923669214,0.9422881154216348,0.8051431104525052,0.9410389359889404,0.9435686560951435,0.8011301155540285,0.8090514112201657,0.00027742907717872233,0.00026084461486292613,0.0025562772256566765,2417.587647676468
matrix,Gemma,shared-target,0.9479105171640382,0.7796573436356948,0.43255175560144893,0.7772062976880822,0.7822084568190567,0.42800339457543707,0.43745909015798057,0.0002333036157087858,0.00026084461486292613,0.0022432636878211647,2417.587647676468
