model,disease,biokg,drkg,none,primekg
Gemini-3.1-Flash-Lite,Chronic lymphocytic leukemia,0.9012345679012346,1.0,0.23470017636684304,1.0
Gemini-3.1-Flash-Lite,Chronic thromboembolic pulmonary hypertension,0.9012345679012346,1.0,0.3066137566137566,1.0
Gemini-3.1-Flash-Lite,Crohn's disease,0.7777777777777778,0.8611111111111112,0.2087522045855379,0.8611111111111112
Gemini-3.1-Flash-Lite,"Crohn's disease (moderate-severe, refractory)",0.8888888888888888,0.8611111111111112,0.25044091710758376,0.7777777777777778
Gemini-3.1-Flash-Lite,Delay T1D onset in children ≥1yr,0.12896825396825395,0.12698412698412698,0.30000000000000004,0.1432980599647266
Gemini-3.1-Flash-Lite,EGPA,0.22530864197530864,0.6481481481481481,0.18668430335097,0.2185185185185185
Gemini-3.1-Flash-Lite,EGPA (expanded),1.0,1.0,0.36089065255731917,0.9444444444444444
Gemini-3.1-Flash-Lite,"Eosinophilic esophagitis (EMA May 2026, TBD)",1.0,0.8148148148148148,0.25414462081128747,1.0
Gemini-3.1-Flash-Lite,First-line anemia in lower-risk MDS,0.12896825396825395,0.13800705467372132,0.22319223985890652,0.14781746031746032
Gemini-3.1-Flash-Lite,Follicular lymphoma,0.17173721340388004,0.13007054673721338,0.13822751322751317,0.7962962962962963
Gemini-3.1-Flash-Lite,Follicular lymphoma (+obinutuzumab),0.7074074074074075,0.6481481481481481,0.2239858906525573,0.6327160493827161
Gemini-3.1-Flash-Lite,GVHD + pediatric,1.0,0.9444444444444444,0.18364197530864196,1.0
Gemini-3.1-Flash-Lite,Gastric/GEJ adenocarcinoma,0.6481481481481481,0.48148148148148145,0.3271604938271605,0.5925925925925926
Gemini-3.1-Flash-Lite,Gastric/GEJ adenocarcinoma (1L +chemo),0.8148148148148148,0.537037037037037,0.27839506172839507,0.7777777777777778
Gemini-3.1-Flash-Lite,Generalized myasthenia gravis,0.6975308641975309,0.13359788359788358,0.1315696649029982,0.5740740740740741
Gemini-3.1-Flash-Lite,Giant cell arteritis,0.5185185185185185,0.574074074074074,0.16662257495590826,0.6049382716049383
Gemini-3.1-Flash-Lite,"HCV pediatric extension (EMA May 2026, TBD)",0.5231481481481481,0.4898148148148148,0.2064373897707231,0.4938271604938272
Gemini-3.1-Flash-Lite,HER2-mutant NSCLC (EMA),0.3619929453262786,0.34259259259259256,0.2257495590828924,0.246031746031746
Gemini-3.1-Flash-Lite,HER2-mutant NSCLC (PMDA),0.6944444444444444,0.4351851851851852,0.16446208112874774,0.18994708994708995
Gemini-3.1-Flash-Lite,Heart failure (broadened),0.39814814814814814,0.33562610229276896,0.337037037037037,0.31234567901234567
Gemini-3.1-Flash-Lite,Hidradenitis suppurativa,0.8888888888888888,0.48148148148148145,0.17438271604938269,0.9444444444444444
Gemini-3.1-Flash-Lite,IDH1-mutated relapsed/refractory MDS,1.0,1.0,0.26247795414462083,1.0
Gemini-3.1-Flash-Lite,ILD-associated pulmonary hypertension,0.3611111111111111,1.0,0.32760141093474426,0.9012345679012346
Gemini-3.1-Flash-Lite,IV formulation for rheumatic diseases (EMA),1.0,0.6481481481481481,0.26913580246913577,0.8333333333333334
Gemini-3.1-Flash-Lite,Invasive fungal infections pediatric ≥2yr,1.0,0.845679012345679,0.358641975308642,0.4148148148148148
Gemini-3.1-Flash-Lite,Juvenile idiopathic arthritis (EMA Feb 2026),0.9444444444444444,0.6512345679012346,0.2033509700176367,0.9444444444444444
Gemini-3.1-Flash-Lite,KRAS G12C+ mCRC,0.9012345679012346,0.9012345679012346,0.22111992945326278,1.0
Gemini-3.1-Flash-Lite,Measles prophylaxis post-exposure,0.41710758377425045,0.7777777777777778,0.25308641975308643,0.6790123456790123
Gemini-3.1-Flash-Lite,Metastatic colorectal cancer,0.23650793650793644,0.537037037037037,0.6425925925925926,0.8024691358024691
Gemini-3.1-Flash-Lite,"Muscle-invasive bladder cancer (EMA May 2026, TBD)",0.4567901234567901,0.9444444444444444,0.2583333333333333,0.9444444444444444
Gemini-3.1-Flash-Lite,Nephrotic syndrome,0.7037037037037037,0.36419753086419754,0.8333333333333334,0.39814814814814814
Gemini-3.1-Flash-Lite,Obstructive sleep apnea with obesity,0.1313932980599647,0.15454144620811283,0.12125220458553791,0.12940917107583771
Gemini-3.1-Flash-Lite,Oral tablet formulation for weight management,0.9012345679012346,1.0,0.1419312169312169,1.0
Gemini-3.1-Flash-Lite,PKU expanded to ≥12yr,0.34007936507936504,0.26587301587301587,0.25723104056437385,0.3698853615520282
Gemini-3.1-Flash-Lite,Pancreatic NET,0.8333333333333334,0.845679012345679,0.23298059964726628,1.0
Gemini-3.1-Flash-Lite,Pediatric glioma (EMA),0.9012345679012346,1.0,0.25308641975308643,0.4362433862433862
Gemini-3.1-Flash-Lite,"Ph+ ALL frontline (EMA Mar 2026, TBD)",0.9444444444444444,0.925925925925926,0.32469135802469135,1.0
Gemini-3.1-Flash-Lite,Pheochromocytoma/paraganglioma,0.9012345679012346,0.8492063492063492,0.13712522045855374,1.0
Gemini-3.1-Flash-Lite,Platinum-resistant ovarian carcinoma (PD-L1+ CPS≥1),1.0,1.0,0.27839506172839507,1.0
Gemini-3.1-Flash-Lite,Polycythaemia vera and essential thrombocytopenia,0.33544973544973544,0.6666666666666666,0.6111111111111112,0.7222222222222222
Gemini-3.1-Flash-Lite,Polymyalgia rheumatica,1.0,0.9012345679012346,0.42345679012345677,1.0
Gemini-3.1-Flash-Lite,Primary humoral immunodeficiency pediatric 2-11yr,0.6203703703703703,0.8888888888888888,0.6595679012345679,1.0
Gemini-3.1-Flash-Lite,Primary immunodeficiency pediatric (EMA),0.4462962962962963,0.7037037037037037,0.4506172839506173,0.9012345679012346
Gemini-3.1-Flash-Lite,Primary mediastinal large B-cell lymphoma,0.8888888888888888,0.7222222222222222,0.254320987654321,0.8333333333333334
Gemini-3.1-Flash-Lite,Psoriasis in children 6-11 (cream),0.7037037037037037,0.8148148148148148,0.4728395061728395,0.7962962962962963
Gemini-3.1-Flash-Lite,RAS wild-type HER2+ metastatic colorectal cancer,1.0,0.9012345679012346,0.17019400352733685,0.9444444444444444
Gemini-3.1-Flash-Lite,Reduce MACE in CVD + obesity/overweight,1.0,1.0,0.24074074074074073,1.0
Gemini-3.1-Flash-Lite,Resectable gastric/GEJ adenocarcinoma (neoadj+adj +FLOT),0.6666666666666666,0.6481481481481481,0.2845679012345679,0.8888888888888888
Gemini-3.1-Flash-Lite,Retinopathy of prematurity,1.0,1.0,0.5216049382716049,1.0
Gemini-3.1-Flash-Lite,Schnitzler syndrome (Japan),1.0,1.0,0.406305114638448,1.0
Gemini-3.1-Flash-Lite,Ulcerative colitis,0.7222222222222222,0.7283950617283951,0.29466490299823633,1.0
Gemini-3.1-Flash-Lite,Unresectable thymic carcinoma (PMDA),0.8888888888888888,0.6666666666666666,0.45123456790123456,0.35185185185185186
Gemini-3.1-Flash-Lite,Urothelial carcinoma (expanded population),0.7222222222222222,0.8333333333333334,0.3845679012345679,0.537037037037037
